old_codepoint,old_char,old_name,mapped_char,modern_codepoint,rationale_ko
U+1113,ᄓ,HANGUL CHOSEONG NIEUN-KIYEOK,ᄂ,U+1102,(ㄴ+ㄱ) 어두 자음군 소실 → 선행 비음 ㄴ으로 환원.
U+1114,ᄔ,HANGUL CHOSEONG SSANGNIEUN,ᄂ,U+1102,된소리 ㄴ은 현대 표기 부재 → 기본 ㄴ으로 환원.
U+1115,ᄕ,HANGUL CHOSEONG NIEUN-TIKEUT,ᄂ,U+1102,(ㄴ+ㄷ) 어두 자음군 불허 → ㄴ으로 단순화.
U+1116,ᄖ,HANGUL CHOSEONG NIEUN-PIEUP,ᄂ,U+1102,(ㄴ+ㅂ) 어두 자음군 불허 → ㄴ으로 단순화.
U+1117,ᄗ,HANGUL CHOSEONG TIKEUT-KIYEOK,ᄃ,U+1103,(ㄷ+ㄱ) 어두 자음군 불허 → 첫 자모 계열(치조 파열) ㄷ으로 환원.
U+1118,ᄘ,HANGUL CHOSEONG RIEUL-NIEUN,ᄅ,U+1105,(ㄹ+ㄴ) 복합은 현대 초성에서 ㄹ로 환원.
U+1119,ᄙ,HANGUL CHOSEONG SSANGRIEUL,ᄅ,U+1105,된소리 ㄹ 부재 → ㄹ로 환원.
U+111A,ᄚ,HANGUL CHOSEONG RIEUL-HIEUH,ᄅ,U+1105,(ㄹ+ㅎ)에서 ㅎ 흔적 소실 → ㄹ로 대응.
U+111B,ᄛ,HANGUL CHOSEONG KAPYEOUNRIEUL,ᄅ,U+1105,‘가벼운 ㄹ’ 표기는 ㄹ로 환원.
U+111C,ᄜ,HANGUL CHOSEONG MIEUM-PIEUP,ᄆ,U+1106,(ㅁ+ㅂ) 어두 자음군 불허 → 비음 ㅁ으로.
U+111D,ᄝ,HANGUL CHOSEONG KAPYEOUNMIEUM,ᄆ,U+1106,‘가벼운 ㅁ’ → ㅁ.
U+111E,ᄞ,HANGUL CHOSEONG PIEUP-KIYEOK,ᄇ,U+1107,(ㅂ+ㄱ) 어두 자음군 불허 → 첫 자모 ㅂ으로.
U+111F,ᄟ,HANGUL CHOSEONG PIEUP-NIEUN,ᄇ,U+1107,(ㅂ+ㄴ) 어두 자음군 불허 → ㅂ.
U+1120,ᄠ,HANGUL CHOSEONG PIEUP-TIKEUT,ᄇ,U+1107,(ㅂ+ㄷ) 어두 자음군 불허 → ㅂ.
U+1121,ᄡ,HANGUL CHOSEONG PIEUP-SIOS,ᄊ,U+110A,역사적으로 ㅄ-가 ㅆ으로 강화된 사례를 반영.
U+1122,ᄢ,HANGUL CHOSEONG PIEUP-SIOS-KIYEOK,ᄇ,U+1107,복합(ㅂ+ㅅ+ㄱ) 어두 자음군 불허 → 보수적 환원으로 ㅂ.
U+1123,ᄣ,HANGUL CHOSEONG PIEUP-SIOS-TIKEUT,ᄇ,U+1107,복합(ㅂ+ㅅ+ㄷ) → 첫 자모 ㅂ으로 환원.
U+1124,ᄤ,HANGUL CHOSEONG PIEUP-SIOS-PIEUP,ᄇ,U+1107,복합(ㅂ+ㅅ+ㅂ) → ㅂ으로 환원.
U+1125,ᄥ,HANGUL CHOSEONG PIEUP-SSANGSIOS,ᄇ,U+1107,(ㅂ+ㅆ) → ㅂ으로 환원.
U+1126,ᄦ,HANGUL CHOSEONG PIEUP-SIOS-CIEUC,ᄇ,U+1107,(ㅂ+ㅅ+ㅈ) → ㅂ으로 환원.
U+1127,ᄧ,HANGUL CHOSEONG PIEUP-CIEUC,ᄇ,U+1107,(ㅂ+ㅈ) 어두 자음군 → ㅂ.
U+1128,ᄨ,HANGUL CHOSEONG PIEUP-CHIEUCH,ᄇ,U+1107,(ㅂ+ㅊ) → ㅂ.
U+1129,ᄩ,HANGUL CHOSEONG PIEUP-THIEUTH,ᄇ,U+1107,(ㅂ+ㅌ) → ㅂ.
U+112A,ᄪ,HANGUL CHOSEONG PIEUP-PHIEUPH,ᄇ,U+1107,(ㅂ+ㅍ) → ㅂ.
U+112B,ᄫ,HANGUL CHOSEONG KAPYEOUNPIEUP,ᄇ,U+1107,‘가벼운 ㅂ’ → ㅂ.
U+112C,ᄬ,HANGUL CHOSEONG KAPYEOUNSSANGPIEUP,ᄈ,U+1108,‘가벼운 쌍ㅂ’ 성격 → 현대 대응은 ㅃ로 표준화.
U+112D,ᄭ,HANGUL CHOSEONG SIOS-KIYEOK,ᄉ,U+1109,(ㅅ+ㄱ) 군 → 주자모 ㅅ으로 환원.
U+112E,ᄮ,HANGUL CHOSEONG SIOS-NIEUN,ᄉ,U+1109,(ㅅ+ㄴ) → ㅅ.
U+112F,ᄯ,HANGUL CHOSEONG SIOS-TIKEUT,ᄉ,U+1109,(ㅅ+ㄷ) → ㅅ.
U+1130,ᄰ,HANGUL CHOSEONG SIOS-RIEUL,ᄉ,U+1109,(ㅅ+ㄹ) → ㅅ.
U+1131,ᄱ,HANGUL CHOSEONG SIOS-MIEUM,ᄉ,U+1109,(ㅅ+ㅁ) → ㅅ.
U+1132,ᄲ,HANGUL CHOSEONG SIOS-PIEUP,ᄉ,U+1109,(ㅅ+ㅂ) → ㅅ.
U+1133,ᄳ,HANGUL CHOSEONG SIOS-PIEUP-KIYEOK,ᄉ,U+1109,(ㅅ+ㅂ+ㄱ) → ㅅ.
U+1134,ᄴ,HANGUL CHOSEONG SIOS-SSANGSIOS,ᄊ,U+110A,된소리 ㅆ으로 대응.
U+1135,ᄵ,HANGUL CHOSEONG SIOS-IEUNG,ᄉ,U+1109,(ㅅ+ㅇ)에서 ㅇ은 무음 → ㅅ.
U+1136,ᄶ,HANGUL CHOSEONG SIOS-CIEUC,ᄉ,U+1109,(ㅅ+ㅈ) → ㅅ.
U+1137,ᄷ,HANGUL CHOSEONG SIOS-CHIEUCH,ᄉ,U+1109,(ㅅ+ㅊ) → ㅅ.
U+1138,ᄸ,HANGUL CHOSEONG SIOS-KHIEUKH,ᄉ,U+1109,(ㅅ+ㅋ) → ㅅ.
U+1139,ᄹ,HANGUL CHOSEONG SIOS-THIEUTH,ᄉ,U+1109,(ㅅ+ㅌ) → ㅅ.
U+113A,ᄺ,HANGUL CHOSEONG SIOS-PHIEUPH,ᄉ,U+1109,(ㅅ+ㅍ) → ㅅ.
U+113B,ᄻ,HANGUL CHOSEONG SIOS-HIEUH,ᄉ,U+1109,(ㅅ+ㅎ) → ㅅ.
U+113C,ᄼ,HANGUL CHOSEONG CHITUEUMSIOS,ᄉ,U+1109,치두음 ㅅ(치경 치설 마찰음) → ㅅ.
U+113D,ᄽ,HANGUL CHOSEONG CHITUEUMSSANGSIOS,ᄊ,U+110A,치두음 쌍ㅅ → ㅆ.
U+113E,ᄾ,HANGUL CHOSEONG CEONGCHIEUMSIOS,ᄉ,U+1109,청치음 ㅅ(권설) → ㅅ.
U+113F,ᄿ,HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS,ᄊ,U+110A,청치음 쌍ㅅ → ㅆ.
U+1140,ᅀ,HANGUL CHOSEONG PANSIOS,ᄉ,U+1109,반시옷(유성 마찰음) → 현대 표기상 ㅅ으로 수렴.
U+1141,ᅁ,HANGUL CHOSEONG IEUNG-KIYEOK,ᄀ,U+1100,ㅇ은 무음 → 뒤 자모 ㄱ으로 대응.
U+1142,ᅂ,HANGUL CHOSEONG IEUNG-TIKEUT,ᄃ,U+1103,ㅇ 무음 → ㄷ.
U+1143,ᅃ,HANGUL CHOSEONG IEUNG-MIEUM,ᄆ,U+1106,ㅇ 무음 → ㅁ.
U+1144,ᅄ,HANGUL CHOSEONG IEUNG-PIEUP,ᄇ,U+1107,ㅇ 무음 → ㅂ.
U+1145,ᅅ,HANGUL CHOSEONG IEUNG-SIOS,ᄉ,U+1109,ㅇ 무음 → ㅅ.
U+1146,ᅆ,HANGUL CHOSEONG IEUNG-PANSIOS,ᄉ,U+1109,반시옷 계열 → ㅅ.
U+1147,ᅇ,HANGUL CHOSEONG SSANGIEUNG,ᄋ,U+110B,쌍ㅇ의 현대 대응은 ㅇ(무음)으로 단순화.
U+1148,ᅈ,HANGUL CHOSEONG IEUNG-CIEUC,ᄌ,U+110C,ㅇ 무음 → ㅈ.
U+1149,ᅉ,HANGUL CHOSEONG IEUNG-CHIEUCH,ᄎ,U+110E,ㅇ 무음 → ㅊ.
U+114A,ᅊ,HANGUL CHOSEONG IEUNG-THIEUTH,ᄐ,U+1110,ㅇ 무음 → ㅌ.
U+114B,ᅋ,HANGUL CHOSEONG IEUNG-PHIEUPH,ᄑ,U+1111,ㅇ 무음 → ㅍ.
U+114C,ᅌ,HANGUL CHOSEONG YESIEUNG,ᄋ,U+110B,여린이응(ㆁ)의 초성은 현대에서 ㅇ(무음)으로 표기.
U+114D,ᅍ,HANGUL CHOSEONG CIEUC-IEUNG,ᄌ,U+110C,"(ㅈ+ㅇ) → ㅇ은 무음, ㅈ으로."
U+114E,ᅎ,HANGUL CHOSEONG CHITUEUMCIEUC,ᄌ,U+110C,치두음 ㅈ → ㅈ.
U+114F,ᅏ,HANGUL CHOSEONG CHITUEUMSSANGCIEUC,ᄍ,U+110D,치두음 ㅉ → ㅉ.
U+1150,ᅐ,HANGUL CHOSEONG CEONGCHIEUMCIEUC,ᄌ,U+110C,청치음 ㅈ → ㅈ.
U+1151,ᅑ,HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC,ᄍ,U+110D,청치음 ㅉ → ㅉ.
U+1152,ᅒ,HANGUL CHOSEONG CHIEUCH-KHIEUKH,ᄎ,U+110E,첫 자모 계열(ㅊ)로 환원.
U+1153,ᅓ,HANGUL CHOSEONG CHIEUCH-HIEUH,ᄎ,U+110E,(ㅊ+ㅎ) → ㅊ으로 수렴.
U+1154,ᅔ,HANGUL CHOSEONG CHITUEUMCHIEUCH,ᄎ,U+110E,치두음 ㅊ → ㅊ.
U+1155,ᅕ,HANGUL CHOSEONG CEONGCHIEUMCHIEUCH,ᄎ,U+110E,청치음 ㅊ → ㅊ.
U+1156,ᅖ,HANGUL CHOSEONG PHIEUPH-PIEUP,ᄑ,U+1111,(ㅍ+ㅂ) → 첫 자모 ㅍ으로.
U+1157,ᅗ,HANGUL CHOSEONG KAPYEOUNPHIEUPH,ᄑ,U+1111,‘가벼운 ㅍ’ → ㅍ.
U+1158,ᅘ,HANGUL CHOSEONG SSANGHIEUH,ᄒ,U+1112,된소리 ㅎ → ㅎ.
U+1159,ᅙ,HANGUL CHOSEONG YEORINHIEUH,ᄒ,U+1112,여린ㅎ(ㆆ)의 현대 대응은 ㅎ (무성 성문 마찰음)으로 표기.
U+115A,ᅚ,HANGUL CHOSEONG KIYEOK-TIKEUT,ᄀ,U+1100,(ㄱ+ㄷ) → 첫 자모 ㄱ으로.
U+115B,ᅛ,HANGUL CHOSEONG NIEUN-SIOS,ᄂ,U+1102,(ㄴ+ㅅ) → ㄴ으로 환원.
U+115C,ᅜ,HANGUL CHOSEONG NIEUN-CIEUC,ᄂ,U+1102,(ㄴ+ㅈ) → ㄴ.
U+115D,ᅝ,HANGUL CHOSEONG NIEUN-HIEUH,ᄂ,U+1102,(ㄴ+ㅎ) → ㄴ.
U+115E,ᅞ,HANGUL CHOSEONG TIKEUT-RIEUL,ᄃ,U+1103,(ㄷ+ㄹ) → 첫 자모 ㄷ으로.
